# RLEdb
# Citation : Zhao, M., Chen, X., Gao, G. et al. RLEdb: a database of rate-limiting enzymes and their regulation in human, rat, mouse, yeast and E. coli. Cell Res 19, 793–795 (2009). https://doi.org/10.1038/cr.2009.61

CKMT1B	CKMT|CKMT1|UMTCK
CKMT2	SMTCK
CLNS1A	CLCI|CLNS1B|ICln
CLPS	-
COMT	HEL-S-98n
COX10	-
COX15	CEMCOX2
CP	CP-2
CPOX	CPO|CPX|HCP
CPS1	CPSASE1|PHN
CPT1A	CPT1|CPT1-L|L-CPT1
CPT1B	CPT1-M|CPT1M|CPTI|CPTI-M|M-CPT1|MCCPT1|MCPT1
CPT2	CPT1|CPTASE|IIAE4
CRAT	CAT1
CREBBP	CBP|KAT3A|RSTS
CS	-
MAPK14	CSBP|CSBP1|CSBP2|CSPB1|EXIP|Mxi2|PRKM14|PRKM15|RK|SAPK2A|p38|p38ALPHA
CSNK1G2	CK1g2
VCAN	CSPG2|ERVR|GHAP|PG-M|WGN|WGN1
NCAN	CSPG3
CSPG4	HMW-MAA|MCSP|MCSPG|MEL-CSPG|MSK16|NG2
SLC25A10	DIC
CTGF	CCN2|HCS24|IGFBP8|NOV2
CTH	-
CTNNB1	CTNNB|MRD19|armadillo
CTPS1	CTPS|IMD24
CYC1	MC3DN6|UQCR4
DAD1	OST2
DGKA	DAGK|DAGK1|DGK-alpha
DGKB	DAGK2|DGK|DGK-BETA
DGKG	DAGK3|DGK-GAMMA
DGKQ	DAGK|DAGK4|DAGK7
DAO	DAAO|DAMOX|OXDA
DBH	DBM
DBT	BCATE2|BCKAD-E2|BCKADE2|E2|E2B
ECI1	DCI
DCK	-
DCN	CSCD|DSPG2|PG40|PGII|PGS2|SLRR1B
DCTD	-
DCT	TRP-2|TYRP2
DDC	AADC
AKR1C1	2-ALPHA-HSD|20-ALPHA-HSD|C9|DD1|DD1/DD2|DDH|DDH1|H-37|HAKRC|HBAB|MBAB
AKR1C2	AKR1C-pseudo|BABP|DD|DD-2|DD/BABP|DD2|DDH2|HAKRD|HBAB|MCDR2|SRXY8|TDD
DDOST	AGER1|CDG1R|OKSWcl45|OST|OST48|WBP1
DDX6	HLR2|P54|RCK
DECR1	DECR|NADPH|SDR18C1
TIMM8A	DDP|DDP1|DFN1|MTS|TIM8
DGUOK	MTDPS3|dGK
DHCR7	SLOS
DHCR24	DCE|Nbla03646|SELADIN1|seladin-1
DHFR	DHFRP1|DYR
DHODH	DHOdehase|POADS|URA1
DHPS	DHS|DS|MIG13
NQO1	DHQU|DIA4|DTD|NMOR1|NMORI|QR1
DIO1	5DI|TXDI1
DIO2	5DII|D2|DIOII|SelY|TXDI2
DIO3	5DIII|D3|DIOIII|TXDI3
DLAT	DLTA|PDC-E2|PDCE2
DLD	DLDD|DLDH|E3|GCSL|LAD|PHE3
DLST	DLTS
SARDH	BPR-2|DMGDHL1|SAR|SARD|SDH
DNMT1	ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT
TRDMT1	DMNT2|DNMT2|MHSAIIP|PUMET|RNMT1
DNMT3A	DNMT3A2|M.HsaIIIA|TBRS
DNMT3B	ICF|ICF1|M.HsaIIIB
DPAGT1	ALG7|CDG-Ij|CDG1J|CMSTA2|D11S366|DGPT|DPAGT|DPAGT2|G1PT|GPT|UAGT|UGAT
DPP4	ADABP|ADCP2|CD26|DPPIV|TP103
DPYD	DHP|DHPDHASE|DPD
DPYS	DHP|DHPase
DTYMK	CDC8|PP3731|TMPK|TYMK
DUT	dUTPase
TYMP	ECGF|ECGF1|MEDPS1|MNGIE|MTDPS1|PDECGF|TP|hPD-ECGF
ECHS1	SCEH
EEF1A1	CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1
EEF1B2	EEF1B|EEF1B1|EF1B
EEF1D	EF-1D|EF1D|FP1047
EEF1G	EF1G|GIG35
EEF2	EEF-2|EF-2|EF2|SCA26
EHHADH	ECHD|FRTS3|L-PBE|LBFP|LBP|PBFE
EIF1AX	EIF1A|EIF1AP1|EIF4C|eIF-1A|eIF-4C
EIF2S1	EIF-2|EIF-2A|EIF-2alpha|EIF2|EIF2A
EIF2B1	EIF2B|EIF2BA
EIF2S3	EIF2|EIF2G|EIF2gamma|eIF-2gA
EIF4A1	DDX2A|EIF-4A|EIF4A|eIF-4A-I|eIF4A-I
EIF4A2	BM-010|DDX2B|EIF4A|EIF4F|eIF-4A-II|eIF4A-II
EIF4B	EIF-4B|PRO1843
EIF4E	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F
EIF4EBP1	4E-BP1|4EBP1|BP-1|PHAS-I
EIF4G1	EIF-4G1|EIF4F|EIF4G|EIF4GI|P220|PARK18
EIF5	EIF-5|EIF-5A
EIF5A	EIF-5A|EIF5A1|eIF5AI
ELAVL1	ELAV1|HUR|Hua|MelG
ENO1	ENO1L1|MPB1|NNE|PPH
ENO2	HEL-S-279|NSE
ENO3	GSD13|MSE
EP300	KAT3B|RSTS2|p300
EPHX1	EPHX|EPOX|HYL1|MEH
EPHX2	CEH|SEH
EPRS	EARS|GLUPRORS|PARS|QARS|QPRS
ESRRA	ERR1|ERRa|ERRalpha|ESRL1|NR3B1
ETF1	D5S1995|ERF|ERF1|RF1|SUP45L1|TB3-1
EXT1	EXT|LGCR|LGS|TRPS2|TTV
EXT2	SOTV
F2	PT|RPRGL2|THPH1
F7	SPCA
F9	FIX|HEMB|P19|PTC|THPH8
F10	FX|FXA
FABP4	A-FABP|AFABP|ALBP|HEL-S-104|aP2
FABP1	FABPL|L-FABP
FABP6	I-15P|I-BABP|I-BALB|I-BAP|ILBP|ILBP3|ILLBP
ACSL1	ACS1|FACL1|FACL2|LACS|LACS1|LACS2
ACSL3	ACS3|FACL3|PRO2194
ACSL4	ACS4|FACL4|LACS4|MRX63|MRX68
FAH	-
FASN	FAS|OA-519|SDR27X1
FAU	FAU1|Fub1|Fubi|MNSFbeta|RPS30|S30|asr1
FBP1	FBP
FDFT1	DGPT|ERG9|SQS|SS
FDPS	FPPS|FPS
FECH	EPP|FCE
GPC4	K-glypican
GPC5	-
FH	HLRCC|LRCC|MCL|MCUL1
FHIT	AP3Aase|FRA3B
FHL2	AAG11|DRAL|FHL-2|SLIM-3|SLIM3
FMO1	-
FMO2	FMO1B1
FMO3	FMOII|TMAU|dJ127D3.1
FMO4	FMO2
FMO5	-
FMOD	FM|SLRR2E
FPGS	-
FXN	CyaY|FA|FARR|FRDA|X25
MTOR	FRAP|FRAP1|FRAP2|RAFT1|RAPT1
FSHB	-
